1,0,--กรุณาระบุอาชีพของท่าน--,1,1
2,1,ว่างงาน,1,1
3,2,นักเรียน/นิสิต/นักศึกษา,1,1
4,3,มีรายได้ไม่แน่นอน,2,1
5,4,ลูกจ้างชั่วคราว/ลูกจ้างรายวัน,2,1
6,5,ผู้ใช้แรงงาน/ทำงานพาร์ทไทม์,2,1
7,6,อาชีพอิสระ/แรงงานฝีมือ,3,1
8,7,เกษตรกร,3,1
9,8,พ่อค้าแม่ค้า,3,1
10,9,ข้าราชการครู,2,1
11,10,อาจารย์มหาวิทยาลัย,3,1
12,11,ข้าราชการพยาบาล,2,1
13,12,ตำรวจหรือทหารชั้นประทวน,1,1
14,13,ข้าราชการ/พนักงานราชการ,4,1
15,14,พนักงานประจำ/พนักงานเอกชน,4,1
16,15,แพทย์/สัตวแพทย์/ทันตแพทย์/เภสัชกร,5,1
17,16,ผู้พิพากษา/อัยการ,5,1
18,17,นักบินพาณิชย์,5,1
19,18,เจ้าของธุรกิจรายได้ต่ำกว่า 1 ล้านบาทต่อปี,3,1
20,19,เจ้าของธุรกิจมีรายได้ 1-10 ล้านบาทต่อปี,4,1
21,20,เจ้าของธุรกิจมีรายได้มากกว่า 10 ล้านบาทต่อปี,5,1
